time (UTC),latitude (degrees_north),longitude (degrees_east),date_utc,primary_sample_unit,station_nr,sample_depth (m),habitat_cd,habitat_type,depth_strat,depth_strat_description,sub_region,sub_region_name_description,admin,administration_description,scientific_name,common_name,len (cm),num,time_seen,strat,strat_description
2017-08-02T00:00:00Z,18.35779,-64.77686,2017-08-02T00:00:00Z,6116,1,13.0,PTRF,Patch reef (Aggregate and individual),DEEP,deep (12-30 m),STJ,St. John,VIIS,Virgin Islands National Park,Apogon binotatus,barred cardinalfish,0.0,0.0,1,PTRF_DEEP,Patch reef (Aggregate and individual) deep
2017-08-02T00:00:00Z,18.35779,-64.77686,2017-08-02T00:00:00Z,6116,1,13.0,PTRF,Patch reef (Aggregate and individual),DEEP,deep (12-30 m),STJ,St. John,VIIS,Virgin Islands National Park,Gymnothorax miliaris,goldentail moray,0.0,0.0,1,PTRF_DEEP,Patch reef (Aggregate and individual) deep
2017-08-02T00:00:00Z,18.35779,-64.77686,2017-08-02T00:00:00Z,6116,1,13.0,PTRF,Patch reef (Aggregate and individual),DEEP,deep (12-30 m),STJ,St. John,VIIS,Virgin Islands National Park,Monacanthus ciliatus,fringed filefish,0.0,0.0,1,PTRF_DEEP,Patch reef (Aggregate and individual) deep
2017-08-02T00:00:00Z,18.35779,-64.77686,2017-08-02T00:00:00Z,6116,1,13.0,PTRF,Patch reef (Aggregate and individual),DEEP,deep (12-30 m),STJ,St. John,VIIS,Virgin Islands National Park,Acanthurus bahianus,ocean surgeon,8.0,0.0,1,PTRF_DEEP,Patch reef (Aggregate and individual) deep
2017-08-02T00:00:00Z,18.35779,-64.77686,2017-08-02T00:00:00Z,6116,1,13.0,PTRF,Patch reef (Aggregate and individual),DEEP,deep (12-30 m),STJ,St. John,VIIS,Virgin Islands National Park,Acanthurus bahianus,ocean surgeon,10.0,1.0,1,PTRF_DEEP,Patch reef (Aggregate and individual) deep
2017-08-02T00:00:00Z,18.35779,-64.77686,2017-08-02T00:00:00Z,6116,1,13.0,PTRF,Patch reef (Aggregate and individual),DEEP,deep (12-30 m),STJ,St. John,VIIS,Virgin Islands National Park,Acanthurus bahianus,ocean surgeon,11.0,0.0,1,PTRF_DEEP,Patch reef (Aggregate and individual) deep
2017-08-02T00:00:00Z,18.35779,-64.77686,2017-08-02T00:00:00Z,6116,1,13.0,PTRF,Patch reef (Aggregate and individual),DEEP,deep (12-30 m),STJ,St. John,VIIS,Virgin Islands National Park,Acanthurus bahianus,ocean surgeon,12.0,1.0,1,PTRF_DEEP,Patch reef (Aggregate and individual) deep
2017-08-02T00:00:00Z,18.35779,-64.77686,2017-08-02T00:00:00Z,6116,1,13.0,PTRF,Patch reef (Aggregate and individual),DEEP,deep (12-30 m),STJ,St. John,VIIS,Virgin Islands National Park,Acanthurus bahianus,ocean surgeon,13.0,0.0,1,PTRF_DEEP,Patch reef (Aggregate and individual) deep
2017-08-02T00:00:00Z,18.35779,-64.77686,2017-08-02T00:00:00Z,6116,1,13.0,PTRF,Patch reef (Aggregate and individual),DEEP,deep (12-30 m),STJ,St. John,VIIS,Virgin Islands National Park,Acanthurus bahianus,ocean surgeon,14.0,0.0,1,PTRF_DEEP,Patch reef (Aggregate and individual) deep
2017-08-02T00:00:00Z,18.35779,-64.77686,2017-08-02T00:00:00Z,6116,1,13.0,PTRF,Patch reef (Aggregate and individual),DEEP,deep (12-30 m),STJ,St. John,VIIS,Virgin Islands National Park,Acanthurus bahianus,ocean surgeon,15.0,0.0,1,PTRF_DEEP,Patch reef (Aggregate and individual) deep
2017-08-02T00:00:00Z,18.35779,-64.77686,2017-08-02T00:00:00Z,6116,1,13.0,PTRF,Patch reef (Aggregate and individual),DEEP,deep (12-30 m),STJ,St. John,VIIS,Virgin Islands National Park,Acanthurus chirurgus,doctorfish,13.0,0.0,2,PTRF_DEEP,Patch reef (Aggregate and individual) deep
2017-08-02T00:00:00Z,18.35779,-64.77686,2017-08-02T00:00:00Z,6116,1,13.0,PTRF,Patch reef (Aggregate and individual),DEEP,deep (12-30 m),STJ,St. John,VIIS,Virgin Islands National Park,Acanthurus chirurgus,doctorfish,14.0,2.0,1,PTRF_DEEP,Patch reef (Aggregate and individual) deep
2017-08-02T00:00:00Z,18.35779,-64.77686,2017-08-02T00:00:00Z,6116,1,13.0,PTRF,Patch reef (Aggregate and individual),DEEP,deep (12-30 m),STJ,St. John,VIIS,Virgin Islands National Park,Acanthurus chirurgus,doctorfish,15.0,0.0,2,PTRF_DEEP,Patch reef (Aggregate and individual) deep
2017-08-02T00:00:00Z,18.35779,-64.77686,2017-08-02T00:00:00Z,6116,1,13.0,PTRF,Patch reef (Aggregate and individual),DEEP,deep (12-30 m),STJ,St. John,VIIS,Virgin Islands National Park,Acanthurus coeruleus,blue tang,2.0,0.0,1,PTRF_DEEP,Patch reef (Aggregate and individual) deep
2017-08-02T00:00:00Z,18.35779,-64.77686,2017-08-02T00:00:00Z,6116,1,13.0,PTRF,Patch reef (Aggregate and individual),DEEP,deep (12-30 m),STJ,St. John,VIIS,Virgin Islands National Park,Acanthurus coeruleus,blue tang,6.0,0.0,1,PTRF_DEEP,Patch reef (Aggregate and individual) deep
2017-08-02T00:00:00Z,18.35779,-64.77686,2017-08-02T00:00:00Z,6116,1,13.0,PTRF,Patch reef (Aggregate and individual),DEEP,deep (12-30 m),STJ,St. John,VIIS,Virgin Islands National Park,Acanthurus coeruleus,blue tang,10.0,1.0,1,PTRF_DEEP,Patch reef (Aggregate and individual) deep
2017-08-02T00:00:00Z,18.35779,-64.77686,2017-08-02T00:00:00Z,6116,1,13.0,PTRF,Patch reef (Aggregate and individual),DEEP,deep (12-30 m),STJ,St. John,VIIS,Virgin Islands National Park,Acanthurus coeruleus,blue tang,11.0,0.0,1,PTRF_DEEP,Patch reef (Aggregate and individual) deep
2017-08-02T00:00:00Z,18.35779,-64.77686,2017-08-02T00:00:00Z,6116,1,13.0,PTRF,Patch reef (Aggregate and individual),DEEP,deep (12-30 m),STJ,St. John,VIIS,Virgin Islands National Park,Acanthurus coeruleus,blue tang,13.0,1.0,1,PTRF_DEEP,Patch reef (Aggregate and individual) deep
